feature,importance
mileage,0.8678108090302583
year,0.16854425808903456
vehicle_age,0.14270554569044877
make_Ford,0.05880898408641035
fuel_type_diesel,0.04505633310519956
make_North,0.023019816517021608
age_bin_nearly_new,0.020472822553045823
mileage_bin_medium,0.01315646235137966
model_Haven,0.012282231511339236
model_Information,0.010399306666039432
age_bin_aging,0.008519040273210965
make_Contact,0.007948339913953616
make_New,0.004275265622963309
age_bin_recent,0.003137847941547345
make_Toyota,0.0028447617513627788
mileage_bin_low,0.002719666708302837
mileage_bin_high,0.0025118554839032694
fuel_type_gas,0.0024467144841731512
make_Dodge,0.0012424541220607099
transmission_Manual,0.0007631083625996738
make_Lexus,0.0007109458337940855
model_Neon,0.0006821704928710148
fuel_type_hybrid,0.0005057799558363274
make_Honda,0.00035942686132365285
make_Acura,0.0003089372241989463
transmission_Automatic,0.0002650806354208446
make_West,0.0002482917416662289
make_Nissan,0.0002470285521383953
model_Silverado,0.00024370136142606302
model_CR,0.0002051440736541954
model_TLX,0.00015114693975055716
age_bin_old,0.00013072859824311278
make_Chevrolet,0.00010319208679904213
make_Benz,7.076215107499894e-05
make_Hyundai,6.669971723975987e-05
model_Camry,2.9313471556002835e-05
make_Subaru,1.5779444739327796e-05
make_Infiniti,1.3690578468794624e-05
transmission_CVT,3.3658764921895568e-06
model_XV,3.311943731654221e-06
fuel_type_electric,1.6693099630149532e-06
make_Volkswagen,1.2450042463085786e-06
model_Versa,5.76777528760175e-07
make_Audi,2.1537211130073787e-07
make_Jaguar,0.0
make_Gran,0.0
make_Chrysler,0.0
make_Chevy,0.0
make_East,0.0
make_Fair,0.0
make_Mazda,0.0
make_Hummer,0.0
make_Golf,0.0
make_Aero,0.0
make_Cadillac,0.0
make_Buy,0.0
make_Acadia,0.0
make_Checrolet,0.0
model_ATS,0.0
model_A3,0.0
make_Xdrive,0.0
make_Volvo,0.0
make_Totota,0.0
make_Sport,0.0
make_Super,0.0
make_Tesla,0.0
make_Ram,0.0
make_Rambler,0.0
make_Premium,0.0
make_South,0.0
make_Mitsubishi,0.0
make_Mini,0.0
make_Mercury,0.0
make_Old,0.0
make_Kia,0.0
make_Lake,0.0
make_Jeep,0.0
make_Land,0.0
make_Mercedes,0.0
make_Lincoln,0.0
make_Maserati,0.0
model_Benz,0.0
model_CRZ,0.0
model_CTS,0.0
model_CX,0.0
model_Cherokee,0.0
model_Chevelle,0.0
model_Branford,0.0
model_Altima,0.0
model_AWD,0.0
model_Express,0.0
model_Equinox,0.0
model_Forester,0.0
model_F150,0.0
model_Fusion,0.0
model_GLA,0.0
model_GLK350,0.0
model_Fiesta,0.0
model_GS,0.0
model_Gand,0.0
model_Grand,0.0
model_Glastonbury,0.0
model_H2,0.0
model_Civic,0.0
model_C300,0.0
model_Accord,0.0
model_Corolla,0.0
model_Corvette,0.0
model_Country,0.0
model_Coupe,0.0
model_Crosstrek,0.0
model_Crystal,0.0
model_Duty,0.0
model_E350,0.0
model_EX35,0.0
model_Edge,0.0
model_El,0.0
model_Elantra,0.0
model_Element,0.0
model_Eos,0.0
model_Classic,0.0
model_Cooper,0.0
model_Mountaineer,0.0
model_Montero,0.0
model_Model,0.0
model_Milford,0.0
model_Maxima,0.0
model_Malibu,0.0
model_ML350,0.0
model_MKZ,0.0
model_MKT,0.0
model_MK,0.0
model_M45X,0.0
model_Lawn,0.0
model_LX,0.0
model_LC,0.0
model_JX35,0.0
model_Impala,0.0
model_Frontier,0.0
model_Here,0.0
model_Hartford,0.0
model_Mustang,0.0
model_Outback,0.0
model_Passat,0.0
model_Pathfinder,0.0
model_Murano,0.0
model_ProMaster,0.0
model_Q3,0.0
model_Q5,0.0
model_QX60,0.0
model_Quattroporte,0.0
model_RDX,0.0
model_RX,0.0
model_Odyssey,0.0
model_Sonata,0.0
model_Sienna,0.0
model_Seltos,0.0
model_Sedan,0.0
model_SUV,0.0
model_Saybrook,0.0
model_SLT,0.0
model_SL500,0.0
model_Rover,0.0
model_S80,0.0
model_S60,0.0
model_S5,0.0
model_Rav4,0.0
model_Rogue,0.0
model_Ranger,0.0
model_Ram,0.0
model_Prius,0.0
model_XTS,0.0
model_Wrangler,0.0
model_Venza,0.0
model_Transit,0.0
model_XC60,0.0
model_Taurus,0.0
model_Town,0.0
model_Sportage,0.0
model_Sportwagen,0.0
model_Tahoe,0.0
model_Sprinter,0.0
model_Soul,0.0
model_Tundra,0.0
fuel_type_cng,0.0
transmission_DCT,0.0
